Dataset;Layer config;lr;Beta;Reset Mechanism;Timesteps;Accuracy;Precision;Recall;F1;Loss
MNIST;[784, 10, 10, 10];0.1;0.7000000000000001;zero;64;0.707;0.689;0.704;0.669;0.705
MNIST;[784, 10, 10, 10];0.1;0.4;zero;16;0.705;0.745;0.7;0.686;0.698
MNIST;[784, 10, 10, 10];0.1;0.75;zero;128;0.704;0.706;0.693;0.671;0.817
FASHION_MNIST;[784, 10, 10, 10];0.01;0.95;subtract;4;0.702;0.67;0.702;0.642;0.668
FASHION_MNIST;[784, 20, 10, 10, 10];0.0001;0.8;zero;8;0.702;0.704;0.702;0.69;0.779
FASHION_MNIST;[784, 10, 10, 10];0.01;0.45;zero;8;0.701;0.735;0.701;0.648;0.669
FASHION_MNIST;[784, 20, 10, 10, 10];0.0001;0.9;subtract;4;0.7;0.711;0.7;0.679;0.836
MNIST;[784, 10, 10, 10];0.1;0.7000000000000001;subtract;16;0.7;0.71;0.693;0.651;0.824
FASHION_MNIST;[784, 100, 10];0.001;0.45;subtract;64;0.699;0.731;0.699;0.667;0.352
MNIST;[784, 10, 10, 10];0.1;0.5;zero;128;0.698;0.727;0.692;0.68;0.746
FASHION_MNIST;[784, 10, 10, 10];0.01;0.7000000000000001;zero;4;0.698;0.741;0.698;0.667;0.686
MNIST;[784, 20, 10, 10, 10];0.1;0.5;subtract;64;0.697;0.719;0.694;0.668;0.803
MNIST;[784, 10, 10, 10];0.1;0.6000000000000001;zero;16;0.697;0.715;0.694;0.677;0.704
FASHION_MNIST;[784, 100, 10];0.001;0.5;zero;16;0.696;0.734;0.696;0.668;0.36
MNIST;[784, 10, 10, 10];0.1;0.7000000000000001;subtract;4;0.695;0.715;0.694;0.665;0.685
FASHION_MNIST;[784, 10, 10, 10];0.01;0.6000000000000001;zero;32;0.695;0.743;0.695;0.664;0.614
FASHION_MNIST;[784, 100, 10];0.01;0.55;zero;8;0.692;0.835;0.692;0.708;0.499
MNIST;[784, 10, 10, 10];0.1;0.8500000000000001;zero;4;0.691;0.682;0.687;0.637;0.879
FASHION_MNIST;[784, 10, 10, 10];0.0001;0.45;zero;64;0.689;0.682;0.689;0.655;0.812
FASHION_MNIST;[784, 10, 10, 10];0.01;0.45;zero;4;0.689;0.704;0.689;0.645;0.68
FASHION_MNIST;[784, 20, 10, 10, 10];0.0001;0.7000000000000001;zero;16;0.689;0.685;0.689;0.659;0.743
FASHION_MNIST;[784, 100, 10];0.001;0.65;subtract;4;0.687;0.734;0.687;0.653;0.376
FASHION_MNIST;[784, 10, 10, 10];0.01;0.8500000000000001;subtract;64;0.685;0.677;0.685;0.637;0.76
FASHION_MNIST;[784, 100, 10];0.001;0.95;zero;128;0.684;0.729;0.684;0.668;0.498
FASHION_MNIST;[784, 10, 10, 10];0.01;0.8;subtract;16;0.684;0.672;0.684;0.631;0.709
FASHION_MNIST;[784, 20, 10, 10, 10];0.01;0.95;zero;16;0.683;0.649;0.683;0.627;0.865
MNIST;[784, 10, 10, 10];0.1;0.8500000000000001;zero;64;0.679;0.696;0.672;0.656;0.826
FASHION_MNIST;[784, 100, 10];0.001;0.65;zero;32;0.675;0.734;0.675;0.653;0.365
